source,source_id,title,url,year,phrase,extra
zbmath,7242264,\(G_2\)-instantons on noncompact \(G_2\)-manifolds: results and open problems,https://arxiv.org/pdf/1812.11867.pdf,2020.0,open problems,links=https://doi.org/10.1007/978-1-0716-0577-6_13|https://arxiv.org/abs/1812.11867 | original_url=https://zbmath.org/7242264 | target_kind=arxiv_pdf
zbmath,7907374,Structure in deep reinforcement learning: a survey and open problems,https://arxiv.org/pdf/2306.16021.pdf,2024.0,open problems,links=https://doi.org/10.1613/jair.1.15703|https://arxiv.org/abs/2306.16021 | original_url=https://zbmath.org/7907374 | target_kind=arxiv_pdf
zbmath,900071852,Open problems of the conference Automorphisms of Affine Spaces,https://arxiv.org/pdf/0909.1462.pdf,2009.0,open problems,links=https://arxiv.org/abs/0909.1462 | original_url=https://zbmath.org/900071852 | target_kind=arxiv_pdf
zbmath,902732207,Solutions to two open problems in geometric group theory,https://arxiv.org/pdf/2505.07873.pdf,2025.0,open problems,links=https://arxiv.org/abs/2505.07873 | original_url=https://zbmath.org/902732207 | target_kind=arxiv_pdf
zbmath,902920898,"Herman Rings: Structure, Dynamics, and Open Problems",https://arxiv.org/pdf/2512.24118.pdf,2025.0,open problems,links=https://arxiv.org/abs/2512.24118 | original_url=https://zbmath.org/902920898 | target_kind=arxiv_pdf
zbmath,900294243,"Algebraic functions with Fermat property, eigenvalues of transfer operator and Riemann zeros, and other open problems",https://arxiv.org/pdf/1609.09842.pdf,2016.0,open problems,links=https://arxiv.org/abs/1609.09842 | original_url=https://zbmath.org/900294243 | target_kind=arxiv_pdf
zbmath,902788330,Identifiability in Unlinked Linear Regression: Some Results and Open Problems,https://arxiv.org/pdf/2507.14986.pdf,2025.0,open problems,links=https://arxiv.org/abs/2507.14986 | original_url=https://zbmath.org/902788330 | target_kind=arxiv_pdf
zbmath,7551330,Stationary Markovian arrival processes: results and open problems,https://arxiv.org/pdf/1905.01736.pdf,2022.0,open problems,links=https://doi.org/10.1017/S1446181122000013|https://arxiv.org/abs/1905.01736 | original_url=https://zbmath.org/7551330 | target_kind=arxiv_pdf
zbmath,902602646,Separating Cones defined by Toric Varieties: Some Properties and Open Problems,https://arxiv.org/pdf/2411.06468.pdf,2024.0,open problems,links=https://arxiv.org/abs/2411.06468 | original_url=https://zbmath.org/902602646 | target_kind=arxiv_pdf
zbmath,7117222,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://arxiv.org/pdf/1607.07787.pdf,2017.0,open problems,links=https://doi.org/10.2989/16073606.2017.1315749|https://arxiv.org/abs/1607.07787 | original_url=https://zbmath.org/7117222 | target_kind=arxiv_pdf
zbmath,900141009,Rank one and finite rank perturbations - survey and open problems,https://arxiv.org/pdf/1205.4376.pdf,2012.0,open problems,links=https://arxiv.org/abs/1205.4376 | original_url=https://zbmath.org/900141009 | target_kind=arxiv_pdf
zbmath,8064045,Increasing sequences in ordered Banach spaces -- new theorems and open problems,https://arxiv.org/pdf/2409.19768.pdf,2025.0,open problems,links=https://doi.org/10.1016/j.jmaa.2025.129694|https://arxiv.org/abs/2409.19768 | original_url=https://zbmath.org/8064045 | target_kind=arxiv_pdf
zbmath,900588809,Geometry of Tensors: Open problems and research directions,https://arxiv.org/pdf/2304.10570.pdf,2023.0,open problems,links=https://arxiv.org/abs/2304.10570 | original_url=https://zbmath.org/900588809 | target_kind=arxiv_pdf
zbmath,900110206,Open Problems in the Theory of Ample Fields,https://arxiv.org/pdf/1106.1310.pdf,2011.0,open problems,links=https://arxiv.org/abs/1106.1310 | original_url=https://zbmath.org/900110206 | target_kind=arxiv_pdf
zbmath,7680627,A weighted composition semigroup related to three open problems,https://arxiv.org/pdf/2111.05398.pdf,2023.0,open problems,links=https://doi.org/10.1016/j.jmaa.2023.127261|https://arxiv.org/abs/2111.05398 | original_url=https://zbmath.org/7680627 | target_kind=arxiv_pdf
zbmath,902659692,On meromorphic solutions of certain Fermat-type difference and analogues equations concerning open problems,https://arxiv.org/pdf/2502.02940.pdf,2025.0,open problems,links=https://arxiv.org/abs/2502.02940 | original_url=https://zbmath.org/902659692 | target_kind=arxiv_pdf
zbmath,1678559,Brane supersymmetry breaking and the cosmological constant: open problems,https://arxiv.org/pdf/hep-th/0104131.pdf,2001.0,open problems,links=https://doi.org/10.1016/S0550-3213(01)00538-7|https://arxiv.org/abs/hep-th/0104131 | original_url=https://zbmath.org/1678559 | target_kind=arxiv_pdf
zbmath,900267092,"The algebra ${\cal A}_q$, $q-$Onsager algebras and coideal subalgebras: two open problems",https://arxiv.org/pdf/1512.02975.pdf,2015.0,open problems,links=https://arxiv.org/abs/1512.02975 | original_url=https://zbmath.org/900267092 | target_kind=arxiv_pdf
zbmath,900236824,Convergence theorems for seminormed fuzzy integrals: Solutions to Hutnìk's open problems,https://arxiv.org/pdf/1501.03136.pdf,2015.0,open problems,links=https://arxiv.org/abs/1501.03136 | original_url=https://zbmath.org/900236824 | target_kind=arxiv_pdf
zbmath,7767535,The puzzle of global double field theory: open problems and the case for a higher Kaluza-Klein perspective,https://arxiv.org/pdf/2007.04969.pdf,2021.0,open problems,links=https://doi.org/10.1002/prop.202000102|https://arxiv.org/abs/2007.04969 | original_url=https://zbmath.org/7767535 | target_kind=arxiv_pdf
zbmath,6722028,Advances in quantum mechanics. Contemporary trends and open problems,https://arxiv.org/pdf/1705.06534.pdf,2017.0,open problems,links=https://doi.org/10.1007/978-3-319-58904-6|https://arxiv.org/abs/1705.06534 | original_url=https://zbmath.org/6722028 | target_kind=arxiv_pdf
zbmath,6542315,Mathematical contributions to the dynamics of the Josephson junctions: state of the art and open problems,https://arxiv.org/pdf/1509.03054.pdf,2015.0,open problems,links=https://arxiv.org/abs/1509.03054 | original_url=https://zbmath.org/6542315 | target_kind=arxiv_pdf
zbmath,900253811,On Kirchhoff type equations with critical Sobolev exponent and Naimen's open problems,https://arxiv.org/pdf/1507.05308.pdf,2015.0,open problems,links=https://arxiv.org/abs/1507.05308 | original_url=https://zbmath.org/900253811 | target_kind=arxiv_pdf
zbmath,902573316,Open problems in one-parameter operator semigroups theory,https://arxiv.org/pdf/2410.00416.pdf,2024.0,open problems,links=https://arxiv.org/abs/2410.00416 | original_url=https://zbmath.org/902573316 | target_kind=arxiv_pdf
zbmath,902972656,"Multiparty Quantum Key Agreement: Architectures, State-of-the-art, and Open Problems",https://arxiv.org/pdf/2603.03225.pdf,2026.0,open problems,links=https://arxiv.org/abs/2603.03225 | original_url=https://zbmath.org/902972656 | target_kind=arxiv_pdf
zbmath,8121764,"Queueing, predictions, and large language models: challenges and open problems",https://arxiv.org/pdf/2503.07545.pdf,2025.0,open problems,links=https://doi.org/10.1287/stsy.2025.0106|https://arxiv.org/abs/2503.07545 | original_url=https://zbmath.org/8121764 | target_kind=arxiv_pdf
