source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
zbmath,7242264,\(G_2\)-instantons on noncompact \(G_2\)-manifolds: results and open problems,https://zbmath.org/7242264,2020.0,open problems,links=https://doi.org/10.1007/978-1-0716-0577-6_13|https://arxiv.org/abs/1812.11867,https://zbmath.org/7242264,https://arxiv.org/pdf/1812.11867.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1007/978-1-0716-0577-6_13"", ""https://arxiv.org/abs/1812.11867""]"
zbmath,900071852,Open problems of the conference Automorphisms of Affine Spaces,https://zbmath.org/900071852,2009.0,open problems,links=https://arxiv.org/abs/0909.1462,https://zbmath.org/900071852,https://arxiv.org/pdf/0909.1462.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/0909.1462""]"
zbmath,902920898,"Herman Rings: Structure, Dynamics, and Open Problems",https://zbmath.org/902920898,2025.0,open problems,links=https://arxiv.org/abs/2512.24118,https://zbmath.org/902920898,https://arxiv.org/pdf/2512.24118.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2512.24118""]"
zbmath,902788330,Identifiability in Unlinked Linear Regression: Some Results and Open Problems,https://zbmath.org/902788330,2025.0,open problems,links=https://arxiv.org/abs/2507.14986,https://zbmath.org/902788330,https://arxiv.org/pdf/2507.14986.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2507.14986""]"
zbmath,902602646,Separating Cones defined by Toric Varieties: Some Properties and Open Problems,https://zbmath.org/902602646,2024.0,open problems,links=https://arxiv.org/abs/2411.06468,https://zbmath.org/902602646,https://arxiv.org/pdf/2411.06468.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2411.06468""]"
zbmath,900141009,Rank one and finite rank perturbations - survey and open problems,https://zbmath.org/900141009,2012.0,open problems,links=https://arxiv.org/abs/1205.4376,https://zbmath.org/900141009,https://arxiv.org/pdf/1205.4376.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1205.4376""]"
zbmath,900588809,Geometry of Tensors: Open problems and research directions,https://zbmath.org/900588809,2023.0,open problems,links=https://arxiv.org/abs/2304.10570,https://zbmath.org/900588809,https://arxiv.org/pdf/2304.10570.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2304.10570""]"
zbmath,7680627,A weighted composition semigroup related to three open problems,https://zbmath.org/7680627,2023.0,open problems,links=https://doi.org/10.1016/j.jmaa.2023.127261|https://arxiv.org/abs/2111.05398,https://zbmath.org/7680627,https://arxiv.org/pdf/2111.05398.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/j.jmaa.2023.127261"", ""https://arxiv.org/abs/2111.05398""]"
zbmath,1678559,Brane supersymmetry breaking and the cosmological constant: open problems,https://zbmath.org/1678559,2001.0,open problems,links=https://doi.org/10.1016/S0550-3213(01)00538-7|https://arxiv.org/abs/hep-th/0104131,https://zbmath.org/1678559,https://arxiv.org/pdf/hep-th/0104131.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/S0550-3213(01)00538-7"", ""https://arxiv.org/abs/hep-th/0104131""]"
zbmath,900236824,Convergence theorems for seminormed fuzzy integrals: Solutions to Hutnìk's open problems,https://zbmath.org/900236824,2015.0,open problems,links=https://arxiv.org/abs/1501.03136,https://zbmath.org/900236824,https://arxiv.org/pdf/1501.03136.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1501.03136""]"
