global_index,source_json,paper_id,paper_title,paper_link,question_link,question_id,parser_is_solved,context_brief,original_question,self_contained_problem,macro_subject,category_tag,open_status,status_search_result,status_evidence,status_evidence_urls,confidence,validation_warnings,model,effort,elapsed_s,checkpoint_path
5,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=1,q_006,false,Cubic equation with prime exponent on the right-hand side.,Determine whether Kraus' equation x^3 + y^3 = z^p can be solved for all prime exponents p >= 3.,"Let p be a prime number with p ≥ 3. Consider the Diophantine equation
   x^3 + y^3 = z^p
to be solved in integers x, y, z with xyz ≠ 0 and gcd(x, y, z) = 1 (so-called primitive non-trivial solutions). Determine, for every prime p ≥ 3, the complete set of primitive non-trivial integer solutions (x, y, z) of this equation. In particular, decide whether for every prime p ≥ 3 the equation x^3 + y^3 = z^p has no primitive non-trivial integer solutions.",Number Theory,Generalized Fermat equations,partially_solved,"The equation x^3 + y^3 = z^p has been resolved for many primes p via modular methods (e.g., Kraus, Chen–Siksek, Freitas, Bennett–Chen–Dahmen–Yazdani). Non-existence of non-trivial primitive solutions is known for all primes p in 3 ≤ p ≤ 109 and for an explicit set of primes of positive density (e.g., when −3 is not a square mod p), but the problem remains open for general primes p. Hence the question is partially solved, not fully resolved.","[{""title"": ""On the Fermat-type Equation x^3 + y^3 = z^p"", ""url"": ""https://arxiv.org/abs/1601.06361"", ""snippet"": ""For a set of primes p of density 0.681 the equation has no non-trivial primitive solutions; results for 17 ≤ p < 104."", ""claim"": ""Resolved for an explicit density-positive set of primes and small primes, but not all primes.""}, {""title"": ""Generalised Fermat equation: a survey of solved cases"", ""url"": ""https://arxiv.org/pdf/2412.11933"", ""snippet"": ""(3,3,p) solved for p ≤ 109; many signatures remain open."", ""claim"": ""Signature (3,3,p) of x^3+y^3=z^p is solved for p up to 109, otherwise open.""}]",https://arxiv.org/abs/1601.06361 https://arxiv.org/pdf/2412.11933,0.85,,opus,medium,49.22,outputs/self-contained-leftover-checkpoints-part-0-of-2/000005__07-workshop-problems__q_006__ca94dfd47f2e.json
6,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=1,q_007,false,Unconditional proof of absence of rational points.,The curve y^2 = -3x^6 - x^5 + 2x^4 + 2x^2 - 3x - 3 is known to have no rational point under BSD. Can one prove unconditionally that this curve has no rational points?,"Consider the smooth projective curve $C$ of genus 2 over $\mathbb{Q}$ given by the affine equation
$$ y^2 = -3x^6 - x^5 + 2x^4 + 2x^2 - 3x - 3. $$
Assuming the Birch–Swinnerton-Dyer conjecture (applied to the Jacobian of $C$), it is known that $C(\mathbb{Q}) = \emptyset$. Prove unconditionally that $C$ has no rational points, i.e., that $C(\mathbb{Q}) = \emptyset$.",Number Theory,Rational points on hyperelliptic curves,unknown,"A targeted web search did not surface any published unconditional proof that the specific genus-2 curve y^2 = -3x^6 - x^5 + 2x^4 + 2x^2 - 3x - 3 has no rational points; the question of giving an unconditional argument (e.g. via Chabauty–Coleman, Mordell–Weil sieve, or descent) appears to be open from the available evidence, though no definitive recent reference was located.","[{""title"": ""Lectures on rational points on curves – Poonen"", ""url"": ""https://math.mit.edu/~poonen/papers/curves.pdf"", ""snippet"": ""General methods (Chabauty, Mordell–Weil sieve) for proving emptiness of rational points on higher-genus curves."", ""claim"": ""Standard techniques for unconditional proofs exist but no reference to this specific curve was found.""}]",https://math.mit.edu/~poonen/papers/curves.pdf,0.5,,opus,medium,26.67,outputs/self-contained-leftover-checkpoints-part-0-of-2/000006__07-workshop-problems__q_007__bb9489321c17.json
7,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=2,q_008,false,Lower bounds for the distance of log n to the nearest integer.,Let ||x|| denote the distance from a real number x to the nearest integer. Does there exist a positive absolute constant c such that ||log n|| > n^(-c) for every integer n >= 2?,"For a real number $x$, let $\|x\|$ denote the distance from $x$ to the nearest integer, i.e., $\|x\| = \min_{m \in \mathbb{Z}} |x - m|$. Decide whether there exists an absolute positive constant $c > 0$ such that
$$\|\log n\| > n^{-c}$$
for every integer $n \geq 2$, where $\log$ denotes the natural logarithm.",Number Theory,Diophantine approximation of logarithms,open,"The question is equivalent to asking for a power-saving lower bound on how close integers can be to powers of e, i.e., on $|n - e^m|$ for integers $n, m$. Such a bound is not known; the best known effective lower bounds on $\|\log n\|$ come from Baker-type theory of linear forms in logarithms and give only bounds of the form $\exp(-C (\log n)^{1+\epsilon})$ or weaker, far from $n^{-c}$. The problem is listed among open Diophantine problems and no resolution has been found.","[{""title"": ""Open Diophantine Problems"", ""url"": ""https://arxiv.org/pdf/math/0312440"", ""snippet"": ""Compendium of open Diophantine problems including questions on approximation of logarithms by rationals."", ""claim"": ""Problems about lower bounds for distances of logarithms to integers (linear forms in logarithms) are listed as open.""}, {""title"": ""Irrationality Measure -- Wolfram MathWorld"", ""url"": ""https://mathworld.wolfram.com/IrrationalityMeasure.html"", ""snippet"": ""Irrationality measures and effective bounds on |q log a - p| are limited by Baker's theorem."", ""claim"": ""No power-saving lower bounds on ||log n|| of the form n^{-c} are known.""}]",https://arxiv.org/pdf/math/0312440 https://mathworld.wolfram.com/IrrationalityMeasure.html,0.7,,opus,medium,39.79,outputs/self-contained-leftover-checkpoints-part-0-of-2/000007__07-workshop-problems__q_008__719985fc7e3c.json
8,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=2,q_009,false,Uniform bound on the number of exponential Diophantine solutions.,"Let D and k be positive integers and let p be a prime with gcd(D, kp) = 1. Prove that there exists an absolute constant C such that the Diophantine equation x^2 + D = k p^n has at most C integer solutions (x, n).","Prove that there exists an absolute constant $C>0$ with the following property. For every choice of positive integers $D$ and $k$ and every prime number $p$ satisfying $\gcd(D, kp) = 1$, the exponential Diophantine equation
$$x^2 + D = k\, p^n$$
has at most $C$ solutions in integers $(x, n)$ with $x \in \mathbb{Z}$ and $n \in \mathbb{Z}_{\geq 0}$.",Number Theory,Exponential Diophantine equations,open,"Known bounds on the number of solutions of equations of the form x^2 + D = k p^n (generalizing the Ramanujan–Nagell equation) typically depend on the number of prime divisors of D or k, via work of Bugeaud, Shorey, Bilu, Mignotte, Le, and others. No result establishing an absolute constant bound C independent of D, k, and p appears in the literature, and the problem is generally listed as open.","[{""title"": ""A generalization of the Ramanujan-Nagell equation"", ""url"": ""https://arxiv.org/pdf/1712.02199"", ""snippet"": ""Bounds on the number of solutions of x^2 + D = k p^n depend on parameters; no absolute bound proved."", ""claim"": ""Current bounds in the literature are not absolute constants but depend on D and k.""}, {""title"": ""On the number of solutions of the Diophantine equation ax^m - by^n = c"", ""url"": ""https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2966F4ECFA67327F24F2CFCC4CAA36B8/S0004972709001002a.pdf/on-the-number-of-solutions-of-the-diophantine-equation-axmbync.pdf"", ""snippet"": ""Bounds for the number of solutions of related exponential Diophantine equations."", ""claim"": ""Related results in the area give bounds that depend on auxiliary parameters.""}]",https://arxiv.org/pdf/1712.02199 https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2966F4ECFA67327F24F2CFCC4CAA36B8/S0004972709001002a.pdf/on-the-number-of-solutions-of-the-diophantine-equation-axmbync.pdf,0.6,,opus,medium,37.37,outputs/self-contained-leftover-checkpoints-part-0-of-2/000008__07-workshop-problems__q_009__5cfc3fd360db.json
9,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=2,q_010,false,Perfect powers in short intervals.,"For x > 0 and integer n > 0, let Ξ(n, x) be the number of perfect powers in the interval [n, n + x], and define Ξ(x) = lim sup_{n -> +∞} Ξ(n, x). Obtain an upper bound for Ξ(x).","For a positive real number $x$ and a positive integer $n$, let $\Xi(n,x)$ denote the number of perfect powers contained in the closed interval $[n, n+x]$, where a perfect power means an integer of the form $a^b$ with integers $a \geq 1$ and $b \geq 2$. Define
$$\Xi(x) = \limsup_{n \to +\infty} \Xi(n,x).$$
Obtain an explicit upper bound for $\Xi(x)$ as a function of $x$.",Number Theory,Perfect powers in short intervals,open,"Bounds on the number of perfect powers in short intervals have been studied by Loxton (with a gap later corrected by Bernstein and Stewart), using lower bounds for simultaneous linear forms in logarithms. However, obtaining a sharp or definitive upper bound for Ξ(x) as defined remains an open problem; conjectures of Stewart and others (e.g., that [N, N+N^{1/2}] can contain three perfect powers) are still unresolved.","[{""title"": ""Perfect Powers: Pillai's works and their developments (Waldschmidt)"", ""url"": ""https://webusers.imj-prg.fr/~michel.waldschmidt/articles/pdf/PerfectPowers.pdf"", ""snippet"": ""Loxton proved a bound on the number of perfect powers in a short interval; a gap was later corrected by Bernstein and Stewart. Stewart conjectures infinitely many N for which [N, N+N^{1/2}] contains a square, a cube, and a fifth power."", ""claim"": ""Only partial results are known; the problem of giving a sharp upper bound for Ξ(x) remains open.""}]",https://webusers.imj-prg.fr/~michel.waldschmidt/articles/pdf/PerfectPowers.pdf,0.6,,opus,medium,37.59,outputs/self-contained-leftover-checkpoints-part-0-of-2/000009__07-workshop-problems__q_010__06bf2dc3c43d.json
10,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=2,q_011,false,Arithmetic progressions mixing squares and a fifth power.,"Determine all arithmetic progressions of the form a^2, b^2, c^2, d^5, where a, b, c, d are integers and gcd(a, b) = 1.","Determine all arithmetic progressions of length four of the form $(a^2, b^2, c^2, d^5)$, where $a, b, c, d$ are integers satisfying $\gcd(a,b) = 1$. That is, find all integer quadruples $(a,b,c,d)$ with $\gcd(a,b)=1$ such that $b^2 - a^2 = c^2 - b^2 = d^5 - c^2$.",Number Theory,Diophantine equations / arithmetic progressions of perfect powers,solved,"Work by Bennett, Patel, and Siksek (resolving a problem of Hajdu and Tengely) shows that the only primitive arithmetic progression of the form (a^2, b^2, c^2, d^5) with gcd(a,b)=1 is the trivial one (1,1,1,1). The proof reduces to finding rational points on three genus-4 hyperelliptic curves, handled via 2-cover descent and Chabauty's method.","[{""title"": ""On a Problem of Hajdu and Tengely"", ""url"": ""https://link.springer.com/chapter/10.1007/978-3-642-14518-6_25"", ""snippet"": ""The only arithmetic progression in coprime integers of the form (a^2,b^2,c^2,d^5) is (1,1,1,1)."", ""claim"": ""The problem is solved: the only such progression is the trivial one (1,1,1,1).""}, {""title"": ""Arithmetic progressions of squares, cubes and n-th powers (Hajdu-Tengely)"", ""url"": ""https://shrek.unideb.hu/~tengely/HajduTengely.pdf"", ""snippet"": ""Study of primitive arithmetic progressions consisting of squares and higher powers, including the case (a^2,b^2,c^2,d^5)."", ""claim"": ""The relevant Diophantine problem has been investigated and resolved by Hajdu-Tengely and follow-up work.""}]",https://link.springer.com/chapter/10.1007/978-3-642-14518-6_25 https://shrek.unideb.hu/~tengely/HajduTengely.pdf,0.8,,opus,medium,23.4,outputs/self-contained-leftover-checkpoints-part-0-of-2/000010__07-workshop-problems__q_011__09056208e877.json
11,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=2,q_013,false,Infinitude question for a rational-square equation.,"Are there infinitely many positive integer triples (x, y, z) satisfying (x^3 - 1)/(y^3 - 1) = z^2?","Determine whether there exist infinitely many triples of positive integers (x, y, z) with x, y ≥ 2 satisfying
    (x^3 − 1)/(y^3 − 1) = z^2,
that is, such that y^3 − 1 divides x^3 − 1 and the quotient (x^3 − 1)/(y^3 − 1) is a perfect square.",Number Theory,Diophantine equations,unknown,"A targeted web search did not yield a published resolution showing infinitude or finitude of positive integer solutions to (x^3-1)/(y^3-1) = z^2. The question is listed as an open problem in workshop problem lists on Diophantine equations, but no definitive solution could be verified.","[{""title"": ""Diophantine Equation--3rd Powers - Wolfram MathWorld"", ""url"": ""https://mathworld.wolfram.com/DiophantineEquation3rdPowers.html"", ""snippet"": ""Survey of cubic Diophantine equations; no listed resolution for (x^3-1)/(y^3-1)=z^2."", ""claim"": ""No record of a resolution for this specific equation in standard references.""}]",https://mathworld.wolfram.com/DiophantineEquation3rdPowers.html,0.6,,opus,medium,29.76,outputs/self-contained-leftover-checkpoints-part-0-of-2/000011__07-workshop-problems__q_013__f0895f9ff9fb.json
12,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=2,q_014,false,Quartic Diophantine equation in three variables.,"Determine all integer triples (x, y, z) satisfying x^4 + x^2 + y^4 + y^2 = z^4 + z^2.","Determine all triples of integers $(x, y, z) \in \mathbb{Z}^3$ that satisfy the Diophantine equation
$$x^4 + x^2 + y^4 + y^2 \;=\; z^4 + z^2.$$
Equivalently, classify all integer solutions of this quartic equation in three variables (e.g., list trivial solutions such as those with $x=0$ or $y=0$ and determine whether any non-trivial integer solutions exist).",Number Theory,Quartic Diophantine equations,unknown,"A web search for the equation $x^4+x^2+y^4+y^2=z^4+z^2$ did not return any paper, problem page, or survey that classifies its integer solutions. Related quartic Diophantine equations have been studied, but no specific resolution of this equation was located.","[{""title"": ""A systematic approach to Diophantine equations: open problems"", ""url"": ""https://arxiv.org/pdf/2404.08518"", ""snippet"": ""Survey/list of open Diophantine problems; does not include a resolution of x^4+x^2+y^4+y^2=z^4+z^2."", ""claim"": ""No solution to the specific equation appears in surveyed open problem lists.""}, {""title"": ""A family of diophantine equations of the form x^4+2nx^2y^2+my^4=z^2"", ""url"": ""https://arxiv.org/abs/0905.3346"", ""snippet"": ""Studies a related family of quartic Diophantine equations, but not the present one."", ""claim"": ""Related quartic equations have been studied, but not this one specifically.""}]",https://arxiv.org/pdf/2404.08518 https://arxiv.org/abs/0905.3346,0.6,,opus,medium,24.62,outputs/self-contained-leftover-checkpoints-part-0-of-2/000012__07-workshop-problems__q_014__8bfde96ed7ce.json
13,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=3,q_015,false,Conjectural finiteness and rigidity for ax^p + by^p = cz^2.,"Consider the equation a x^p + b y^p = c z^2, where p is a prime and a, b, c are pairwise coprime integers. Let S_p(a, b, c) be the set of proper nontrivial integer solutions (x, y, z) with xyz != 0 and gcd(x, y, z) = 1. Prove the following conjectures. First, if none of a + b, a - b, and b - a belongs to cZ^2, then there exists a constant f(a, b, c) such that S_p(a, b, c) is empty for every prime p > f(a, b, c). Second, if one of a + b, a - b, and b - a belongs to cZ^2, then there exists a constant g(a, b, c) such that for every prime p > g(a, b, c), every solution (x, y, z) in S_p(a, b, c) satisfies xy = ±1.","Let $a$, $b$, $c$ be pairwise coprime nonzero integers and let $p$ be a prime number. Consider the Diophantine equation
$$ a x^{p} + b y^{p} = c z^{2}. $$
Define $S_{p}(a,b,c)$ to be the set of triples $(x,y,z) \in \mathbb{Z}^{3}$ satisfying this equation with $xyz \neq 0$ (nontrivial) and $\gcd(x,y,z) = 1$ (proper). Prove the following two statements.

(i) If none of the integers $a+b$, $a-b$, $b-a$ belongs to the set $c\mathbb{Z}^{2} = \{c n^{2} : n \in \mathbb{Z}\}$, then there exists a constant $f(a,b,c)$ such that for every prime $p > f(a,b,c)$ the set $S_{p}(a,b,c)$ is empty.

(ii) If at least one of the integers $a+b$, $a-b$, $b-a$ belongs to $c\mathbb{Z}^{2}$, then there exists a constant $g(a,b,c)$ such that for every prime $p > g(a,b,c)$ and every $(x,y,z) \in S_{p}(a,b,c)$ one has $xy = \pm 1$.",Number Theory,Generalized Fermat equations,open,"The conjecture belongs to the family of generalized Fermat / signature (p,p,2) equations studied via the modular method. Although many particular cases (specific small $a,b,c$) have been resolved using Frey curves and level-lowering, no proof of the full conjecture for arbitrary pairwise coprime $a,b,c$ is known; the general statement remains open.","[{""title"": ""On the equations z^m = F(x,y) and Ax^p + By^q = Cz^r (Darmon–Granville)"", ""url"": ""https://www.math.mcgill.ca/darmon/pub/Articles/Research/12.Granville/pub12.pdf"", ""snippet"": ""Finiteness of solutions to Ax^p+By^q=Cz^r for 1/p+1/q+1/r<1 follows from the abc conjecture; explicit results for signature (p,p,2) require case-by-case modular methods."", ""claim"": ""General signature (p,p,2) finiteness with uniform bound in p is not established unconditionally for arbitrary coprime a,b,c.""}, {""title"": ""Recent work on generalized Fermat equations of signature (p,p,2)"", ""url"": ""https://arxiv.org/pdf/2403.20037"", ""snippet"": ""Solving ax^p+by^p=cz^2 is carried out for specific families of (a,b,c) using Frey curves and modularity; the general conjecture is not proved."", ""claim"": ""Only partial results are known; the conjecture remains open in general.""}]",https://www.math.mcgill.ca/darmon/pub/Articles/Research/12.Granville/pub12.pdf https://arxiv.org/pdf/2403.20037,0.8,,opus,medium,30.15,outputs/self-contained-leftover-checkpoints-part-0-of-2/000013__07-workshop-problems__q_015__488112d4a553.json
14,outputs/parse-paper/07-workshop-problems.json,07-workshop-problems,SOME OPEN PROBLEMS ABOUT DIOPHANTINE EQUATIONS,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf,https://pub.math.leidenuniv.nl/~evertsejh/07-workshop-problems.pdf#page=3,q_016,false,Primitive solutions of x^p + 2y^p = z^2.,"Let p >= 7 be a prime number. Determine all integer triples (x, y, z) such that xyz != 0, gcd(x, y, z) = 1, and x^p + 2 y^p = z^2.","Let $p \geq 7$ be a prime number. Determine all triples $(x,y,z) \in \mathbb{Z}^3$ satisfying
\[ x^p + 2 y^p = z^2, \qquad xyz \neq 0, \qquad \gcd(x,y,z) = 1. \]",Number Theory,Generalized Fermat / ternary Diophantine equations,partially_solved,"Equations of the form $ax^p + by^p = cz^2$ have been studied via Galois representations and modular forms (Bennett–Skinner, Ivorra–Kraus, and follow-up work). Several cases of $x^p + 2y^p = z^2$ have been resolved for specific exponents or under congruence conditions on $p$, but a complete classification of primitive integer solutions for all primes $p \geq 7$ does not appear in the literature; surveys of solved generalized Fermat cases do not list this equation as completely resolved.","[{""title"": ""Ternary Diophantine Equations via Galois Representations and Modular Forms (Bennett–Skinner)"", ""url"": ""https://personal.math.ubc.ca/~bennett/BS.pdf"", ""snippet"": ""Develops methods for ternary equations Ax^n+By^n=Cz^2 and resolves several families."", ""claim"": ""Bennett–Skinner solve many ternary equations of signature (p,p,2) but not the full case A=1,B=2,C=1 for all p≥7.""}, {""title"": ""Generalised Fermat equation: a survey of solved cases"", ""url"": ""https://arxiv.org/abs/2412.11933"", ""snippet"": ""Survey of solved generalized Fermat equations."", ""claim"": ""x^p+2y^p=z^2 for all primes p≥7 is not listed among completely solved cases.""}]",https://personal.math.ubc.ca/~bennett/BS.pdf https://arxiv.org/abs/2412.11933,0.6,,opus,medium,67.18,outputs/self-contained-leftover-checkpoints-part-0-of-2/000014__07-workshop-problems__q_016__1b31ad22b343.json
