source,source_id,title,url,year,phrase,extra,original_url,target_url,target_kind,tier,priority_reason,resolver_status,resolver_detail,resolver_candidates
zbmath,7242264,\(G_2\)-instantons on noncompact \(G_2\)-manifolds: results and open problems,https://zbmath.org/7242264,2020.0,open problems,links=https://doi.org/10.1007/978-1-0716-0577-6_13|https://arxiv.org/abs/1812.11867,https://zbmath.org/7242264,https://arxiv.org/pdf/1812.11867.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1007/978-1-0716-0577-6_13"", ""https://arxiv.org/abs/1812.11867""]"
zbmath,7907374,Structure in deep reinforcement learning: a survey and open problems,https://zbmath.org/7907374,2024.0,open problems,links=https://doi.org/10.1613/jair.1.15703|https://arxiv.org/abs/2306.16021,https://zbmath.org/7907374,https://arxiv.org/pdf/2306.16021.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1613/jair.1.15703"", ""https://arxiv.org/abs/2306.16021""]"
zbmath,900071852,Open problems of the conference Automorphisms of Affine Spaces,https://zbmath.org/900071852,2009.0,open problems,links=https://arxiv.org/abs/0909.1462,https://zbmath.org/900071852,https://arxiv.org/pdf/0909.1462.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/0909.1462""]"
zbmath,902732207,Solutions to two open problems in geometric group theory,https://zbmath.org/902732207,2025.0,open problems,links=https://arxiv.org/abs/2505.07873,https://zbmath.org/902732207,https://arxiv.org/pdf/2505.07873.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2505.07873""]"
zbmath,902920898,"Herman Rings: Structure, Dynamics, and Open Problems",https://zbmath.org/902920898,2025.0,open problems,links=https://arxiv.org/abs/2512.24118,https://zbmath.org/902920898,https://arxiv.org/pdf/2512.24118.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2512.24118""]"
zbmath,900294243,"Algebraic functions with Fermat property, eigenvalues of transfer operator and Riemann zeros, and other open problems",https://zbmath.org/900294243,2016.0,open problems,links=https://arxiv.org/abs/1609.09842,https://zbmath.org/900294243,https://arxiv.org/pdf/1609.09842.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1609.09842""]"
zbmath,902788330,Identifiability in Unlinked Linear Regression: Some Results and Open Problems,https://zbmath.org/902788330,2025.0,open problems,links=https://arxiv.org/abs/2507.14986,https://zbmath.org/902788330,https://arxiv.org/pdf/2507.14986.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2507.14986""]"
zbmath,7551330,Stationary Markovian arrival processes: results and open problems,https://zbmath.org/7551330,2022.0,open problems,links=https://doi.org/10.1017/S1446181122000013|https://arxiv.org/abs/1905.01736,https://zbmath.org/7551330,https://arxiv.org/pdf/1905.01736.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1017/S1446181122000013"", ""https://arxiv.org/abs/1905.01736""]"
zbmath,902602646,Separating Cones defined by Toric Varieties: Some Properties and Open Problems,https://zbmath.org/902602646,2024.0,open problems,links=https://arxiv.org/abs/2411.06468,https://zbmath.org/902602646,https://arxiv.org/pdf/2411.06468.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2411.06468""]"
zbmath,7117222,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://zbmath.org/7117222,2017.0,open problems,links=https://doi.org/10.2989/16073606.2017.1315749|https://arxiv.org/abs/1607.07787,https://zbmath.org/7117222,https://arxiv.org/pdf/1607.07787.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.2989/16073606.2017.1315749"", ""https://arxiv.org/abs/1607.07787""]"
zbmath,900141009,Rank one and finite rank perturbations - survey and open problems,https://zbmath.org/900141009,2012.0,open problems,links=https://arxiv.org/abs/1205.4376,https://zbmath.org/900141009,https://arxiv.org/pdf/1205.4376.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1205.4376""]"
zbmath,8064045,Increasing sequences in ordered Banach spaces -- new theorems and open problems,https://zbmath.org/8064045,2025.0,open problems,links=https://doi.org/10.1016/j.jmaa.2025.129694|https://arxiv.org/abs/2409.19768,https://zbmath.org/8064045,https://arxiv.org/pdf/2409.19768.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/j.jmaa.2025.129694"", ""https://arxiv.org/abs/2409.19768""]"
zbmath,900588809,Geometry of Tensors: Open problems and research directions,https://zbmath.org/900588809,2023.0,open problems,links=https://arxiv.org/abs/2304.10570,https://zbmath.org/900588809,https://arxiv.org/pdf/2304.10570.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2304.10570""]"
zbmath,900110206,Open Problems in the Theory of Ample Fields,https://zbmath.org/900110206,2011.0,open problems,links=https://arxiv.org/abs/1106.1310,https://zbmath.org/900110206,https://arxiv.org/pdf/1106.1310.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1106.1310""]"
zbmath,7680627,A weighted composition semigroup related to three open problems,https://zbmath.org/7680627,2023.0,open problems,links=https://doi.org/10.1016/j.jmaa.2023.127261|https://arxiv.org/abs/2111.05398,https://zbmath.org/7680627,https://arxiv.org/pdf/2111.05398.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/j.jmaa.2023.127261"", ""https://arxiv.org/abs/2111.05398""]"
zbmath,902659692,On meromorphic solutions of certain Fermat-type difference and analogues equations concerning open problems,https://zbmath.org/902659692,2025.0,open problems,links=https://arxiv.org/abs/2502.02940,https://zbmath.org/902659692,https://arxiv.org/pdf/2502.02940.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/2502.02940""]"
zbmath,1678559,Brane supersymmetry breaking and the cosmological constant: open problems,https://zbmath.org/1678559,2001.0,open problems,links=https://doi.org/10.1016/S0550-3213(01)00538-7|https://arxiv.org/abs/hep-th/0104131,https://zbmath.org/1678559,https://arxiv.org/pdf/hep-th/0104131.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://doi.org/10.1016/S0550-3213(01)00538-7"", ""https://arxiv.org/abs/hep-th/0104131""]"
zbmath,900267092,"The algebra ${\cal A}_q$, $q-$Onsager algebras and coideal subalgebras: two open problems",https://zbmath.org/900267092,2015.0,open problems,links=https://arxiv.org/abs/1512.02975,https://zbmath.org/900267092,https://arxiv.org/pdf/1512.02975.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1512.02975""]"
zbmath,900236824,Convergence theorems for seminormed fuzzy integrals: Solutions to Hutnìk's open problems,https://zbmath.org/900236824,2015.0,open problems,links=https://arxiv.org/abs/1501.03136,https://zbmath.org/900236824,https://arxiv.org/pdf/1501.03136.pdf,arxiv_pdf,priority,zbmath resolved to arxiv_pdf,api_ok,,"[""https://arxiv.org/abs/1501.03136""]"
